#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_astor_place;Astor Place;Astor Place;Astor Place;;Astor Place;;;;;;;;;x
c_astor_place_adj;Astor Placean;;Astor Placer;;;;;;;;;;;x
c_baruch_playground;Baruch Playground;Baruch Playground;Baruch Playground;;Baruch Playground;;;;;;;;;x
c_baruch_playground_adj;Baruch Playgroundian;;Baruch Playgrounder;;;;;;;;;;;x
c_bond_street;Bond Street;Bond Street;Bond Street;;Bond Street;;;;;;;;;x
c_bond_street_adj;Bond Streetian;;Bond Streeter;;;;;;;;;;;x
c_borough_of_manhatten_community_college;Borough of Manhatten Community College;Borough of Manhatten Community College;Borough of Manhatten Community College;;Borough of Manhatten Community College;;;;;;;;;x
c_borough_of_manhatten_community_college_adj;Borough of Manhatten Community Collegean;;Borough of Manhatten Community Colleger;;;;;;;;;;;x
c_broome_street;Broome Street;Broome Street;Broome Street;;Broome Street;;;;;;;;;x
c_broome_street_adj;Broome Streetian;;Broome Streeter;;;;;;;;;;;x
c_bryant_park;Bryant Park;Bryant Park;Bryant Park;;Bryant Park;;;;;;;;;x
c_bryant_park_adj;Bryant Parkian;;Bryant Parker;;;;;;;;;;;x
c_canal_park;Canal Park;Canal Park;Canal Park;;Canal Park;;;;;;;;;x
c_canal_park_adj;Canal Parkian;;Canal Parker;;;;;;;;;;;x
c_central_park;Central Park;Central Park;Central Park;;Central Park;;;;;;;;;x
c_central_park_adj;Central Parkian;;Central Parker;;;;;;;;;;;x
c_chambers_street;Chambers Street;Chambers Street;Chambers Street;;Chambers Street;;;;;;;;;x
c_chambers_street_adj;Chambers Streetian;;Chambers Streeter;;;;;;;;;;;x
c_chrystie_street;Chrystie Street;Chrystie Street;Chrystie Street;;Chrystie Street;;;;;;;;;x
c_chrystie_street_adj;Chrystie Streetian;;Chrystie Streeter;;;;;;;;;;;x
c_city_radio;City Radio;City Radio;City Radio;;City Radio;;;;;;;;;x
c_city_radio_adj;City Radian;;City Rader;;;;;;;;;;;x
c_columbus_park;Columbus Park;Columbus Park;Columbus Park;;Columbus Park;;;;;;;;;x
c_columbus_park_adj;Columbus Parkian;;Columbus Parker;;;;;;;;;;;x
c_consolidated_edison;Consolidated Edison;Consolidated Edison;Consolidated Edison;;Consolidated Edison;;;;;;;;;x
c_consolidated_edison_adj;Consolidated Edisonian;;Consolidated Edisoner;;;;;;;;;;;x
c_cortlandt_street;Cortlandt Street;Cortlandt Street;Cortlandt Street;;Cortlandt Street;;;;;;;;;x
c_cortlandt_street_adj;Cortlandt Streetian;;Cortlandt Streeter;;;;;;;;;;;x
c_cristopher_street;Cristopher Street;Cristopher Street;Cristopher Street;;Cristopher Street;;;;;;;;;x
c_cristopher_street_adj;Cristopher Streetian;;Cristopher Streeter;;;;;;;;;;;x
c_delancey_street;Delancey Street;Delancey Street;Delancey Street;;Delancey Street;;;;;;;;;x
c_delancey_street_adj;Delancey Streetian;;Delancey Streeter;;;;;;;;;;;x
c_dey_street;Dey Street;Dey Street;Dey Street;;Dey Street;;;;;;;;;x
c_dey_street_adj;Dey Streetian;;Dey Streeter;;;;;;;;;;;x
c_division_street;Division Street;Division Street;Division Street;;Division Street;;;;;;;;;x
c_division_street_adj;Division Streetian;;Division Streeter;;;;;;;;;;;x
c_e_housten_street;E Housten Street;E Housten Street;E Housten Street;;E Housten Street;;;;;;;;;x
