#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_battery_park;Battery Park;Battery Park;Battery Park;;Battery Park;;;;;;;;;x
k_battery_park_adj;Battery Parkian;;Battery Parker;;;;;;;;;;;x
k_columbus_circle;Columbus Circle;Columbus Circle;Columbus Circle;;Columbus Circle;;;;;;;;;x
k_columbus_circle_adj;Columbus Circlean;;Columbus Circler;;;;;;;;;;;x
k_greenwich_village;Greenwich Village;Greenwich Village;Greenwich Village;;Greenwich Village;;;;;;;;;x
k_greenwich_village_adj;Greenwich Villagean;;Greenwich Villager;;;;;;;;;;;x
k_lower_east_side;Lower East Side;Lower East Side;Lower East Side;;Lower East Side;;;;;;;;;x
k_lower_east_side_adj;Lower East Sidean;;Lower East Sider;;;;;;;;;;;x
k_other;Other;Other;Other;;Other;;;;;;;;;x
k_other_adj;Otherian;;otherer;;;;;;;;;;;x
k_times_square;Times Square;Times Square;Times Square;;Times Square;;;;;;;;;x
k_times_square_adj;Times Squarean;;Times Squarer;;;;;;;;;;;x
k_yorkville;Yorkville;Yorkville;Yorkville;;Yorkville;;;;;;;;;x
k_yorkville_adj;Yorkvillean;;yorkviller;;;;;;;;;;;x
